OldName,NewName
B17001A_004,white_MaleUnder5
B17001A_005,white_Male5
B17001A_006,white_Male6to11
B17001A_007,white_Male12to14
B17001A_008,white_Male15
B17001A_009,white_Male16to17
B17001A_018,white_FemaleUnder5
B17001A_019,white_Female5
B17001A_020,white_Female6to11
B17001A_021,white_Female12to14
B17001A_022,white_Female15
B17001A_023,white_Female16to17
B17001B_004,black_MaleUnder5
B17001B_005,black_Male5
B17001B_006,black_Male6to11
B17001B_007,black_Male12to14
B17001B_008,black_Male15
B17001B_009,black_Male16to17
B17001B_018,black_FemaleUnder5
B17001B_019,black_Female5
B17001B_020,black_Female6to11
B17001B_021,black_Female12to14
B17001B_022,black_Female15
B17001B_023,black_Female16to17
B17001C_004,aian_MaleUnder5
B17001C_005,aian_Male5
B17001C_006,aian_Male6to11
B17001C_007,aian_Male12to14
B17001C_008,aian_Male15
B17001C_009,aian_Male16to17
B17001C_018,aian_FemaleUnder5
B17001C_019,aian_Female5
B17001C_020,aian_Female6to11
B17001C_021,aian_Female12to14
B17001C_022,aian_Female15
B17001C_023,aian_Female16to17
B17001D_004,asian_MaleUnder5
B17001D_005,asian_Male5
B17001D_006,asian_Male6to11
B17001D_007,asian_Male12to14
B17001D_008,asian_Male15
B17001D_009,asian_Male16to17
B17001D_018,asian_FemaleUnder5
B17001D_019,asian_Female5
B17001D_020,asian_Female6to11
B17001D_021,asian_Female12to14
B17001D_022,asian_Female15
B17001D_023,asian_Female16to17
B17001E_004,nhpi_MaleUnder5
B17001E_005,nhpi_Male5
B17001E_006,nhpi_Male6to11
B17001E_007,nhpi_Male12to14
B17001E_008,nhpi_Male15
B17001E_009,nhpi_Male16to17
B17001E_018,nhpi_FemaleUnder5
B17001E_019,nhpi_Female5
B17001E_020,nhpi_Female6to11
B17001E_021,nhpi_Female12to14
B17001E_022,nhpi_Female15
B17001E_023,nhpi_Female16to17
B17001F_004,other_MaleUnder5
B17001F_005,other_Male5
B17001F_006,other_Male6to11
B17001F_007,other_Male12to14
B17001F_008,other_Male15
B17001F_009,other_Male16to17
B17001F_018,other_FemaleUnder5
B17001F_019,other_Female5
B17001F_020,other_Female6to11
B17001F_021,other_Female12to14
B17001F_022,other_Female15
B17001F_023,other_Female16to17
B17001I_004,Hispanic_MaleUnder5
B17001I_005,Hispanic_Male5
B17001I_006,Hispanic_Male6to11
B17001I_007,Hispanic_Male12to14
B17001I_008,Hispanic_Male15
B17001I_009,Hispanic_Male16to17
B17001I_018,Hispanic_FemaleUnder5
B17001I_019,Hispanic_Female5
B17001I_020,Hispanic_Female6to11
B17001I_021,Hispanic_Female12to14
B17001I_022,Hispanic_Female15
B17001I_023,Hispanic_Female16to17
B17001G_004,multi_MaleUnder5
B17001G_005,multi_Male5
B17001G_006,multi_Male6to11
B17001G_007,multi_Male12to14
B17001G_008,multi_Male15
B17001G_009,multi_Male16to17
B17001G_018,multi_FemaleUnder5
B17001G_019,multi_Female5
B17001G_020,multi_Female6to11
B17001G_021,multi_Female12to14
B17001G_022,multi_Female15
B17001G_023,multi_Female16to17
