year,locality,arrests_vabyeond,arrests_civreport,fips,pop_1019,arr_rate
2021,Virginia,229,229,51,1069640,0.2140907221121125
2021,Albemarle,6,6,51003,15464,0.38799793067770305
2021,Charlottesville,1,1,51540,4110,0.24330900243309003
2020,Virginia,300,299,51,1069640,0.27953330092367523
2020,Albemarle,3,2,51003,15464,0.12933264355923435
2020,Charlottesville,0,0,51540,4110,0
2019,Virginia,703,700,51,1071278,0.6534251613493417
2019,Albemarle,3,3,51003,15440,0.19430051813471502
2019,Charlottesville,0,0,51540,4147,0
2018,Virginia,646,643,51,1071101,0.6003168702111192
2018,Albemarle,1,1,51003,15453,0.0647123535883
2018,Charlottesville,0,0,51540,4132,0
2017,Virginia,798,812,51,1067620,0.7605702403476893
2017,Albemarle,19,19,51003,15456,1.229296066252588
2017,Charlottesville,2,2,51540,4080,0.49019607843137253
2016,Virginia,NA,845,51,1062043,0.7956363348753299
2016,Albemarle,NA,17,51003,15469,1.0989721378240351
2016,Charlottesville,NA,0,51540,4061,0
2015,Virginia,NA,1057,51,1058256,0.9988131416216869
2015,Albemarle,NA,22,51003,15401,1.4284786702162198
2015,Charlottesville,NA,1,51540,4007,0.2495632642874969
2014,Virginia,NA,1252,51,1058325,1.1830014409562282
2014,Albemarle,NA,35,51003,15229,2.298246766038479
2014,Charlottesville,NA,0,51540,4009,0
2013,Virginia,NA,1623,51,1058522,1.533269974549419
2013,Albemarle,NA,24,51003,15221,1.5767689376519283
2013,Charlottesville,NA,8,51540,3988,2.0060180541624875
2012,Virginia,NA,2014,51,1061002,1.898205658424772
2012,Albemarle,NA,44,51003,15574,2.825221523051239
2012,Charlottesville,NA,8,51540,3986,2.007024586051179
2011,Virginia,NA,2230,51,1061670,2.1004643627492534
2011,Albemarle,NA,80,51003,15365,5.206638464041653
2011,Charlottesville,NA,4,51540,3947,1.0134279199391945
2010,Virginia,NA,2527,51,1062615,2.378095547305468
2010,Albemarle,NA,64,51003,15188,4.213853041875165
2010,Charlottesville,NA,0,51540,4094,0
2009,Virginia,NA,2587,51,1063377,2.4328154549139205
2009,Albemarle,NA,74,51003,15085,4.9055352999668544
2009,Charlottesville,NA,10,51540,4291,2.3304591004427873
2008,Virginia,NA,2680,51,1062525,2.522293593091927
2008,Albemarle,NA,70,51003,15094,4.637604346097787
2008,Charlottesville,NA,10,51540,4358,2.294630564479119
2007,Virginia,NA,2459,51,1062125,2.3151700600211838
2007,Albemarle,NA,67,51003,14960,4.478609625668449
2007,Charlottesville,NA,16,51540,4468,3.5810205908683974
2006,Virginia,NA,2254,51,1061462,2.123486285896245
2006,Albemarle,NA,64,51003,14914,4.2912699477001475
2006,Charlottesville,NA,7,51540,4596,1.5230635335073979
2005,Virginia,NA,1916,51,1056811,1.8130015679246336
2005,Albemarle,NA,28,51003,14897,1.879573068403034
2005,Charlottesville,NA,6,51540,4673,1.2839717526214423
2004,Virginia,NA,2111,51,1049231,2.011949704116634
2004,Albemarle,NA,55,51003,14679,3.746849240411472
2004,Charlottesville,NA,18,51540,4779,3.766478342749529
2003,Virginia,NA,2017,51,1035873,1.9471498919269061
2003,Albemarle,NA,37,51003,14411,2.567483172576504
2003,Charlottesville,NA,12,51540,4861,2.4686278543509563
2002,Virginia,NA,2478,51,1024791,2.418054022722682
2002,Albemarle,NA,45,51003,14154,3.17931326833404
2002,Charlottesville,NA,5,51540,5065,0.9871668311944718
2001,Virginia,NA,2569,51,1006595,2.5521684490783283
2001,Albemarle,NA,76,51003,13985,5.434393993564534
2001,Charlottesville,NA,13,51540,5032,2.583465818759936
2000,Virginia,NA,2527,51,984830,2.565925083516952
2000,Albemarle,NA,46,51003,13546,3.39583640927211
2000,Charlottesville,NA,12,51540,5156,2.3273855702094646
1999,Virginia,NA,2030,51,964503,2.1047109236570547
1999,Albemarle,NA,64,51003,10641,6.014472324029696
1999,Charlottesville,NA,12,51540,7517,1.5963815351869097
