year,locality,arrests_vabeyond,arrests_civreport,fips,pop_1017,arr_rate
2021,Charlottesville,3,3,51540,2788,1.0760401721664274
2021,Albemarle,1,1,51003,9958,0.1004217714400482
2021,Virginia,1758,1718,51,844816,2.0335789094903505
2020,Charlottesville,3,3,51540,2788,1.0760401721664274
2020,Albemarle,16,14,51003,9958,1.4059048001606749
2020,Virginia,2082,2050,51,844816,2.426563890835401
2019,Charlottesville,6,5,51540,2774,1.802451333813987
2019,Albemarle,16,16,51003,9894,1.6171417020416412
2019,Virginia,3501,3508,51,843728,4.157738038799234
2018,Charlottesville,2,1,51540,2737,0.36536353671903543
2018,Albemarle,5,5,51003,9912,0.5044390637610976
2018,Virginia,3393,3358,51,845089,3.9735459815475056
2017,Charlottesville,11,11,51540,2664,4.1291291291291286
2017,Albemarle,33,33,51003,9921,3.326277592984578
2017,Virginia,3407,3399,51,844663,4.024090080896168
2016,Charlottesville,NA,7,51540,2662,2.629601803155522
2016,Albemarle,NA,22,51003,10005,2.1989005497251375
2016,Virginia,NA,3243,51,840228,3.8596666619060542
2015,Charlottesville,NA,7,51540,2616,2.675840978593272
2015,Albemarle,NA,49,51003,10100,4.851485148514851
2015,Virginia,NA,3494,51,836850,4.175180737288642
2014,Charlottesville,NA,9,51540,2580,3.488372093023256
2014,Albemarle,NA,48,51003,10068,4.767580452920143
2014,Virginia,NA,4043,51,834644,4.84398138607598
2013,Charlottesville,NA,6,51540,2575,2.330097087378641
2013,Albemarle,NA,43,51003,10003,4.2987103868839345
2013,Virginia,NA,4201,51,831413,5.052843773190942
2012,Charlottesville,NA,3,51540,2554,1.1746280344557558
2012,Albemarle,NA,32,51003,9972,3.208985158443642
2012,Virginia,NA,4768,51,831246,5.735967451271946
2011,Charlottesville,NA,14,51540,2519,5.5577610162763005
2011,Albemarle,NA,34,51003,9890,3.4378159757330637
2011,Virginia,NA,5443,51,831388,6.5468830437773935
2010,Charlottesville,NA,7,51540,2495,2.80561122244489
2010,Albemarle,NA,29,51003,9836,2.9483529890199267
2010,Virginia,NA,5895,51,832235,7.083335836632682
2009,Charlottesville,NA,4,51540,2533,1.5791551519936833
2009,Albemarle,NA,25,51003,9785,2.5549310168625445
2009,Virginia,NA,5498,51,831667,6.610818993659723
2008,Charlottesville,NA,11,51540,2541,4.329004329004329
2008,Albemarle,NA,23,51003,9927,2.3169134683187265
2008,Virginia,NA,5780,51,833741,6.93260856788859
2007,Charlottesville,NA,16,51540,2616,6.116207951070336
2007,Albemarle,NA,24,51003,9940,2.414486921529175
2007,Virginia,NA,6028,51,839439,7.18098634921656
2006,Charlottesville,NA,17,51540,2691,6.3173541434411
2006,Albemarle,NA,16,51003,9894,1.6171417020416412
2006,Virginia,NA,5946,51,841243,7.068112305243551
2005,Charlottesville,NA,19,51540,2690,7.063197026022305
2005,Albemarle,NA,39,51003,9908,3.9362131610819544
2005,Virginia,NA,6126,51,839621,7.296149095842052
2004,Charlottesville,NA,16,51540,2736,5.847953216374268
2004,Albemarle,NA,30,51003,9778,3.0681120883616284
2004,Virginia,NA,5904,51,832868,7.088758362669715
2003,Charlottesville,NA,25,51540,2816,8.87784090909091
2003,Albemarle,NA,29,51003,9716,2.984767393989296
2003,Virginia,NA,5522,51,823859,6.702603236718905
2002,Charlottesville,NA,20,51540,2885,6.932409012131715
2002,Albemarle,NA,38,51003,9637,3.9431358306526927
2002,Virginia,NA,5706,51,815077,7.0005655907356
2001,Charlottesville,NA,42,51540,2844,14.767932489451477
2001,Albemarle,NA,36,51003,9426,3.819223424570337
2001,Virginia,NA,5803,51,800180,7.252118273388487
2000,Charlottesville,NA,27,51540,2907,9.287925696594426
2000,Albemarle,NA,50,51003,9215,5.425935973955507
2000,Virginia,NA,5223,51,785996,6.645071985099161
1999,Charlottesville,NA,13,51540,2929,4.438374871969955
1999,Albemarle,NA,23,51003,8930,2.57558790593505
1999,Virginia,NA,3847,51,768671,5.004741950717537
