year,division_number,division_name,adm_total,ada_total,pct_att_total,name,percent
2022,2,Albemarle County,13535,12706,94,Albemarle,93.87513852973771
2022,104,Charlottesville City,4078,3811,93,Charlottesville,93.45267287886219
2022,NA,State Totals,1217511,1134613,93.1911908804109,Virginia,93.19119088041093
2021,2,Albemarle County,13286,12977,98,Albemarle,97.67424356465453
2021,104,Charlottesville City,4033,3888,96,Charlottesville,96.40466154227623
2021,NA,State Totals,1217272,1167512,95.9121708213119,Virginia,95.91217082131192
2020,2,Albemarle County,13286,12977,98,Albemarle,97.67424356465453
2020,104,Charlottesville City,4033,3888,96,Charlottesville,96.40466154227623
2020,NA,State Totals,1217272,1167512,95.9121708213119,Virginia,95.91217082131192
2019,2,Albemarle County,14061,13389,95,Albemarle,95.22082355451248
2019,104,Charlottesville City,4303,4104,95,Charlottesville,95.37531954450384
2019,NA,State Totals,1259681,1197289,95.046999994443,Virginia,95.04699999444304
2018,2,Albemarle County,13656,13071,96,Albemarle,95.71616871704745
2018,104,Charlottesville City,4275,4107,96,Charlottesville,96.0701754385965
2018,NA,State Totals,1254402,1191959,95.0220902071266,Virginia,95.02209020712658
2017,2,Albemarle County,13518,12996,96,Albemarle,96.13848202396804
2017,104,Charlottesville City,4233,4065,96,Charlottesville,96.03118355776046
2017,NA,State Totals,1252175,1187961,94.8718030626709,Virginia,94.87180306267095
2016,2,Albemarle County,13434,12936,96,Albemarle,96.29298794104511
2016,104,Charlottesville City,4152,3935,95,Charlottesville,94.77360308285164
2016,NA,State Totals,1247917,1188533,95.2413501859499,Virginia,95.24135018594987
2015,2,Albemarle County,13357,12860,96,Albemarle,96.27910458935389
2015,104,Charlottesville City,4113,3898,95,Charlottesville,94.77267201556042
2015,NA,State Totals,1243718,1186253,95.3795796153147,Virginia,95.37957961531473
2014,2,Albemarle County,13162,12702,97,Albemarle,96.50509041179151
2014,104,Charlottesville City,4071,3905,96,Charlottesville,95.92237779415377
2014,NA,State Totals,1236225,1180636,95.5033266597909,Virginia,95.5033266597909
2013,2,Albemarle County,13060,12563,96,Albemarle,96.19448698315468
2013,104,Charlottesville City,3986,3813,96,Charlottesville,95.65980933266432
2013,NA,State Totals,1229032,1170208,95.213794270613,Virginia,95.21379427061298
2012,2,Albemarle County,12861,12410,96,Albemarle,96.49327423995024
2012,104,Charlottesville City,3907,3759,96,Charlottesville,96.2119273099565
2012,NA,State Totals,1221453,1166045,95.4637632393551,Virginia,95.46376323935509
2011,2,Albemarle County,12957,12481,96,Albemarle,96.32631010264721
2011,104,Charlottesville City,3795,3645,96,Charlottesville,96.04743083003953
2011,NA,State Totals,1215095,1157008,95.2195507347162,Virginia,95.21955073471622
2010,2,Albemarle County,12779,12282,96,Albemarle,96.11080679239376
2010,104,Charlottesville City,3812,3636,95,Charlottesville,95.38300104931794
2010,NA,State Totals,1209674,1150378,95.09818347753196,Virginia,95.09818347753196
2009,2,Albemarle County,12597,12129,96,Albemarle,96.28482972136223
2009,104,Charlottesville City,3884,3709,95,Charlottesville,95.49433573635427
2009,NA,State Totals,1200078,1144034,96,Virginia,95.32997021860245
2008,2,Albemarle County,12476,11968,96,Albemarle,95.92818210965052
2008,104,Charlottesville City,3902,3717,95,Charlottesville,95.25884161968222
