year,location,percent
2000,Virginia,14.577000000000002
2001,Virginia,14.78
2002,Virginia,14.756
2003,Virginia,14.527000000000001
2004,Virginia,14.542
2005,Virginia,14.81
2006,Virginia,15.273
2007,Virginia,14.848
2008,Virginia,14.183000000000002
2009,Virginia,13.306999999999999
2010,Virginia,12.423
2011,Virginia,11.4
2012,Virginia,9.665
2013,Virginia,8.391
2014,Virginia,9.408999999999999
2015,Virginia,9.569999999999999
2016,Virginia,9.463000000000001
2017,Virginia,9.232999999999999
2018,Virginia,8.783000000000001
2019,Virginia,8.41
2020,Virginia,8.875
2000,Albemarle,10.342
2001,Albemarle,12.087
2002,Albemarle,11.922
2003,Albemarle,11.690000000000001
2004,Albemarle,11.562999999999999
2005,Albemarle,11.08
2006,Albemarle,11.397
2007,Albemarle,11.572000000000001
2008,Albemarle,14.26
2009,Albemarle,10.998
2010,Albemarle,11.152
2011,Albemarle,9.4
2012,Albemarle,7.882
2013,Albemarle,6.955
2014,Albemarle,7.550999999999999
2015,Albemarle,6.39
2016,Albemarle,8.347999999999999
2017,Albemarle,7.306
2018,Albemarle,7.7
2019,Albemarle,7.602
2020,Albemarle,8.111
2000,Charlottesville,18.909000000000002
2001,Charlottesville,19.838
2002,Charlottesville,19.348000000000003
2003,Charlottesville,18.456
2004,Charlottesville,22.881
2005,Charlottesville,19.429
2006,Charlottesville,22.088
2007,Charlottesville,25.824
2008,Charlottesville,19.598
2009,Charlottesville,18.389
2010,Charlottesville,14.234
2011,Charlottesville,16
2012,Charlottesville,10.609
2013,Charlottesville,9.476999999999999
2014,Charlottesville,11.859
2015,Charlottesville,11.81
2016,Charlottesville,8.781
2017,Charlottesville,10.922
2018,Charlottesville,9.091000000000001
2019,Charlottesville,7.371999999999999
2020,Charlottesville,7.9
