count,year,locality,fips,pop_1017,rate
0,2010,Albemarle,51003,9836,0
0,2010,Charlottesville,51540,2495,0
0,2011,Albemarle,51003,9890,0
6,2011,Charlottesville,51540,2519,2.3818975784041285
3,2012,Albemarle,51003,9972,0.3008423586040915
9,2012,Charlottesville,51540,2554,3.523884103367267
47,2013,Albemarle,51003,10003,4.6985904228731386
28,2013,Charlottesville,51540,2575,10.87378640776699
75,2014,Albemarle,51003,10068,7.449344457687724
35,2014,Charlottesville,51540,2580,13.565891472868216
61,2015,Albemarle,51003,10100,6.03960396039604
57,2015,Charlottesville,51540,2616,21.788990825688074
48,2016,Albemarle,51003,10005,4.797601199400299
78,2016,Charlottesville,51540,2662,29.301277235161532
40,2017,Albemarle,51003,9921,4.031851627860095
61,2017,Charlottesville,51540,2664,22.8978978978979
35,2018,Albemarle,51003,9912,3.5310734463276834
31,2018,Charlottesville,51540,2737,11.3262696382901
3092,2018,Virginia,51,845089,3.6587862343492814
44,2019,Albemarle,51003,9894,4.447139680614514
17,2019,Charlottesville,51540,2774,6.128334534967555
3257,2019,Virginia,51,843728,3.8602488005613185
22,2020,Albemarle,51003,9958,2.2092789716810604
16,2020,Charlottesville,51540,2788,5.738880918220947
2248,2020,Virginia,51,844816,2.6609344519990152
8,2021,Albemarle,51003,9958,0.8033741715203856
11,2021,Charlottesville,51540,2788,3.945480631276901
2237,2021,Virginia,51,844816,2.6479138652677032
26,2022,Albemarle,51003,9958,2.6109660574412534
15,2022,Charlottesville,51540,2788,5.380200860832138
2868,2022,Virginia,51,844816,3.394822067763868
