GEOID,year,race,pov_count,NAME,pop_count,total_count,group,pov_percent
51,2010,aian,758,Virginia,6167,1840077,race,12.29
51,2010,asian,6653,Virginia,96621,1840077,race,6.89
51,2010,black,107384,Virginia,404860,1840077,race,26.52
51,2010,hispanic,30946,Virginia,NA,NA,NA,NA
51,2010,multi,12099,Virginia,94024,1840077,race,12.87
51,2010,nhpi,223,Virginia,1295,1840077,race,17.22
51,2010,other,10673,Virginia,61046,1840077,race,17.48
51,2010,white,105449,Virginia,1176064,1840077,race,8.97
51,2011,aian,692,Virginia,5626,1843927,race,12.3
51,2011,asian,7962,Virginia,99823,1843927,race,7.98
51,2011,black,110043,Virginia,403543,1843927,race,27.27
51,2011,hispanic,35332,Virginia,NA,NA,NA,NA
51,2011,multi,14084,Virginia,100624,1843927,race,14
51,2011,nhpi,157,Virginia,1224,1843927,race,12.83
51,2011,other,11003,Virginia,59860,1843927,race,18.38
51,2011,white,111675,Virginia,1173227,1843927,race,9.52
51,2012,aian,648,Virginia,5181,1848713,race,12.51
51,2012,asian,8808,Virginia,102219,1848713,race,8.62
51,2012,black,112978,Virginia,399873,1848713,race,28.25
51,2012,hispanic,38172,Virginia,NA,NA,NA,NA
51,2012,multi,15672,Virginia,111366,1848713,race,14.07
51,2012,nhpi,168,Virginia,1384,1848713,race,12.14
51,2012,other,11110,Virginia,55297,1848713,race,20.09
51,2012,white,116538,Virginia,1173393,1848713,race,9.93
51,2013,aian,666,Virginia,4748,1856014,race,14.03
51,2013,asian,8451,Virginia,104926,1856014,race,8.05
51,2013,black,112782,Virginia,394664,1856014,race,28.58
51,2013,hispanic,40372,Virginia,NA,NA,NA,NA
51,2013,multi,17642,Virginia,119878,1856014,race,14.72
51,2013,nhpi,223,Virginia,1232,1856014,race,18.1
51,2013,other,11317,Virginia,53760,1856014,race,21.05
51,2013,white,120877,Virginia,1176806,1856014,race,10.27
51,2014,aian,395,Virginia,4118,1862284,race,9.59
51,2014,asian,8825,Virginia,107834,1862284,race,8.18
51,2014,black,114199,Virginia,390180,1862284,race,29.27
51,2014,hispanic,44435,Virginia,NA,NA,NA,NA
51,2014,multi,18994,Virginia,126949,1862284,race,14.96
51,2014,nhpi,176,Virginia,1152,1862284,race,15.28
51,2014,other,12190,Virginia,54826,1862284,race,22.23
51,2014,white,124580,Virginia,1177225,1862284,race,10.58
51,2015,aian,684,Virginia,4359,1864668,race,15.69
51,2015,asian,8281,Virginia,110174,1864668,race,7.52
51,2015,black,113273,Virginia,387952,1864668,race,29.2
51,2015,hispanic,45845,Virginia,NA,NA,NA,NA
51,2015,multi,18673,Virginia,130832,1864668,race,14.27
51,2015,nhpi,128,Virginia,982,1864668,race,13.03
51,2015,other,12901,Virginia,54719,1864668,race,23.58
51,2015,white,126204,Virginia,1175650,1864668,race,10.73
51,2016,aian,552,Virginia,4449,1865556,race,12.41
51,2016,asian,7900,Virginia,111313,1865556,race,7.1
51,2016,black,112065,Virginia,382085,1865556,race,29.33
51,2016,hispanic,47034,Virginia,NA,NA,NA,NA
51,2016,multi,19545,Virginia,136005,1865556,race,14.37
51,2016,nhpi,82,Virginia,1117,1865556,race,7.34
51,2016,other,13473,Virginia,56972,1865556,race,23.65
51,2016,white,124735,Virginia,1173615,1865556,race,10.63
51,2017,aian,545,Virginia,4167,1866274,race,13.08
51,2017,asian,7415,Virginia,111900,1866274,race,6.63
51,2017,black,110307,Virginia,380586,1866274,race,28.98
51,2017,hispanic,48599,Virginia,NA,NA,NA,NA
51,2017,multi,20245,Virginia,139748,1866274,race,14.49
51,2017,nhpi,60,Virginia,1137,1866274,race,5.28
51,2017,other,14624,Virginia,61524,1866274,race,23.77
51,2017,white,120766,Virginia,1167212,1866274,race,10.35
51,2018,aian,717,Virginia,4458,1867427,race,16.08
51,2018,asian,7284,Virginia,112660,1867427,race,6.47
51,2018,black,105433,Virginia,375959,1867427,race,28.04
51,2018,hispanic,49456,Virginia,NA,NA,NA,NA
51,2018,multi,20458,Virginia,147344,1867427,race,13.88
51,2018,nhpi,140,Virginia,1326,1867427,race,10.56
51,2018,other,14739,Virginia,64487,1867427,race,22.86
51,2018,white,117716,Virginia,1161193,1867427,race,10.14
51,2019,aian,735,Virginia,4654,1865699,race,15.79
51,2019,asian,6788,Virginia,111854,1865699,race,6.07
51,2019,black,99918,Virginia,373575,1865699,race,26.75
51,2019,hispanic,47726,Virginia,NA,NA,NA,NA
51,2019,multi,20595,Virginia,150313,1865699,race,13.7
51,2019,nhpi,113,Virginia,1321,1865699,race,8.55
51,2019,other,15106,Virginia,69246,1865699,race,21.81
51,2019,white,112552,Virginia,1154736,1865699,race,9.75
51,2020,aian,415,Virginia,4102,1868597,race,10.12
51,2020,asian,8102,Virginia,121366,1868597,race,6.68
51,2020,black,94987,Virginia,370122,1868597,race,25.66
51,2020,hispanic,44639,Virginia,NA,NA,NA,NA
51,2020,multi,19800,Virginia,174014,1868597,race,11.38
51,2020,nhpi,130,Virginia,1323,1868597,race,9.83
51,2020,other,16366,Virginia,77116,1868597,race,21.22
51,2020,white,101837,Virginia,1120554,1868597,race,9.09
