"","school_year","division_name","division_number","english_learners","student_count","pct_english_learners","locality","year"
"1","2003-2004","Virginia",0,60295,1191010,5.06250997052921,"Virginia",2004
"2","2004-2005","Virginia",0,66971,1196334,5.598018613531,"Virginia",2005
"3","2005-2006","Virginia",0,72421,1206987,6.00014747466211,"Virginia",2006
"4","2006-2007","Virginia",0,78217,1212648,6.45009928684993,"Virginia",2007
"5","2007-2008","Virginia",0,84339,1221288,6.90574213453338,"Virginia",2008
"6","2008-2009","Virginia",0,87020,1222679,7.11715830565504,"Virginia",2009
"7","2009-2010","Virginia",0,64261,1205857,5.32907301612048,"Virginia",2010
"8","2010-2011","Virginia",0,91034,1228272,7.41155053603762,"Virginia",2011
"9","2011-2012","Virginia",0,91741,1231240,7.45110620187778,"Virginia",2012
"10","2012-2013","Virginia",0,93300,1236841,7.54341099623961,"Virginia",2013
"11","2013-2014","Virginia",0,94504,1242177,7.60793349095982,"Virginia",2014
"12","2014-2015","Virginia",0,97879,1249324,7.83455692838687,"Virginia",2015
"13","2015-2016","Virginia",0,98297,1253045,7.84465043154875,"Virginia",2016
"14","2016-2017","Virginia",0,101420,1235429,8.20929409945857,"Virginia",2017
"15","2017-2018","Virginia",0,107237,1240813,8.64247876190852,"Virginia",2018
"16","2018-2019","Virginia",0,107757,1235896,8.71893751577803,"Virginia",2019
"17","2019-2020","Virginia",0,116454,1247202,9.33722043421996,"Virginia",2020
"18","2020-2021","Virginia",0,104769,1197270,8.750657746373,"Virginia",2021
"19","2021-2022","Virginia",0,117755,1208528,9.74367164021024,"Virginia",2022
"20","2022-2023","Virginia",0,129414,1219858,10.6089397290504,"Virginia",2023
"21","2003-2004","Albemarle County",2,636,12559,5.06409745998885,"Albemarle",2004
"22","2003-2004","Charlottesville City",104,175,4416,3.96286231884058,"Charlottesville",2004
"23","2004-2005","Albemarle County",2,742,12399,5.98435357690136,"Albemarle",2005
"24","2004-2005","Charlottesville City",104,231,4383,5.2703627652293,"Charlottesville",2005
"25","2005-2006","Albemarle County",2,760,12657,6.00458244449712,"Albemarle",2006
"26","2005-2006","Charlottesville City",104,264,4331,6.09558993304087,"Charlottesville",2006
"27","2006-2007","Albemarle County",2,840,12570,6.68257756563246,"Albemarle",2007
"28","2006-2007","Charlottesville City",104,330,4220,7.81990521327014,"Charlottesville",2007
"29","2007-2008","Albemarle County",2,789,12627,6.24851508671894,"Albemarle",2008
"30","2007-2008","Charlottesville City",104,360,4042,8.90648193963385,"Charlottesville",2008
"31","2008-2009","Albemarle County",2,760,12641,6.01218258049205,"Albemarle",2009
"32","2008-2009","Charlottesville City",104,395,3998,9.87993996998499,"Charlottesville",2009
"33","2009-2010","Albemarle County",2,629,12658,4.96918944541002,"Albemarle",2010
"34","2009-2010","Charlottesville City",104,340,3891,8.73811359547674,"Charlottesville",2010
"35","2010-2011","Albemarle County",2,784,12976,6.04192355117139,"Albemarle",2011
"36","2010-2011","Charlottesville City",104,378,3963,9.53822861468584,"Charlottesville",2011
"37","2011-2012","Albemarle County",2,814,12884,6.31791369140019,"Albemarle",2012
"38","2011-2012","Charlottesville City",104,407,4114,9.89304812834225,"Charlottesville",2012
"39","2012-2013","Albemarle County",2,851,13075,6.50860420650096,"Albemarle",2013
"40","2012-2013","Charlottesville City",104,442,4149,10.6531694384189,"Charlottesville",2013
"41","2013-2014","Albemarle County",2,877,13193,6.6474645645418,"Albemarle",2014
"42","2013-2014","Charlottesville City",104,433,4226,10.2460955986749,"Charlottesville",2014
"43","2014-2015","Albemarle County",2,924,13424,6.88319427890346,"Albemarle",2015
"44","2014-2015","Charlottesville City",104,448,4232,10.586011342155,"Charlottesville",2015
"45","2015-2016","Albemarle County",2,895,13511,6.62423210717193,"Albemarle",2016
"46","2015-2016","Charlottesville City",104,392,4254,9.21485660554772,"Charlottesville",2016
"47","2016-2017","Albemarle County",2,935,13360,6.99850299401198,"Albemarle",2017
"48","2016-2017","Charlottesville City",104,415,4269,9.72124619348794,"Charlottesville",2017
"49","2017-2018","Albemarle County",2,971,13522,7.18089040082828,"Albemarle",2018
"50","2017-2018","Charlottesville City",104,441,4341,10.1589495507947,"Charlottesville",2018
"51","2018-2019","Albemarle County",2,937,13600,6.88970588235294,"Albemarle",2019
"52","2018-2019","Charlottesville City",104,449,4393,10.2208058274528,"Charlottesville",2019
"53","2019-2020","Albemarle County",2,1054,14041,7.50658784986824,"Albemarle",2020
"54","2019-2020","Charlottesville City",104,488,4382,11.1364673664993,"Charlottesville",2020
"55","2020-2021","Albemarle County",2,1015,13186,7.69755801607766,"Albemarle",2021
"56","2020-2021","Charlottesville City",104,463,4081,11.3452585150698,"Charlottesville",2021
"57","2021-2022","Albemarle County",2,1101,13453,8.18404816769494,"Albemarle",2022
"58","2021-2022","Charlottesville City",104,475,4139,11.4762019811549,"Charlottesville",2022
"59","2022-2023","Albemarle County",2,1270,13702,9.26871989490585,"Albemarle",2023
"60","2022-2023","Charlottesville City",104,619,4345,14.2462600690449,"Charlottesville",2023
