year,locality,fips,fc_count,pop_17under,fc_rate
2022,Albemarle,51003,101,21879,4.616298733945793
2022,Charlottesville,51540,57,7316,7.79114270092947
2022,Virginia,51,5076,1866420,2.719645095959109
2021,Albemarle,51003,108,21879,4.936240230357877
2021,Charlottesville,51540,76,7316,10.38819026790596
2021,Virginia,51,5288,1866420,2.8332315341670147
2020,Albemarle,51003,100,21879,4.570592805886923
2020,Charlottesville,51540,87,7316,11.891744122471296
2020,Virginia,51,5378,1866420,2.8814521918967864
2019,Albemarle,51003,106,21830,4.855703160787907
2019,Charlottesville,51540,107,7345,14.56773315180395
2019,Virginia,51,5517,1868689,2.952337173280305
2018,Albemarle,51003,100,21772,4.593055300385816
2018,Charlottesville,51540,144,7345,19.60517358747447
2018,Virginia,51,5329,1870042,2.8496686170684935
2017,Albemarle,51003,84,21954,3.8261820169445206
2017,Charlottesville,51540,138,7303,18.896343968232234
2017,Virginia,51,5210,1872961,2.7816916636278064
2016,Albemarle,51003,83,21970,3.77787892580792
2016,Charlottesville,51540,117,7212,16.22296173044925
2016,Virginia,NA,5242,1838361,2.8514530062376213
2015,Albemarle,51003,105,21932,4.787525077512311
2015,Charlottesville,51540,110,7096,15.501691093573845
2015,Virginia,NA,5140,1838361,2.7959688004695487
2014,Albemarle,51003,115,21879,5.256181726769962
2014,Charlottesville,51540,108,6952,15.535097813578828
2014,Virginia,NA,5119,1838361,2.784545581634945
2013,Albemarle,51003,115,21725,5.293440736478711
2013,Charlottesville,51540,122,6864,17.773892773892772
2013,Virginia,NA,4970,1838361,2.7034951241894274
2012,Albemarle,51003,93,21576,4.310344827586206
2012,Charlottesville,51540,129,6700,19.253731343283583
2012,Virginia,NA,5286,1838361,2.8753873695101237
2011,Albemarle,51003,63,21465,2.9350104821802936
2011,Charlottesville,51540,131,6499,20.156947222649638
2011,Virginia,NA,5573,1838361,3.0315046935830336
2010,Albemarle,51003,74,21302,3.473852220448784
2010,Charlottesville,51540,168,6475,25.945945945945944
2010,Virginia,NA,6161,1838361,3.351354820951924
2009,Albemarle,51003,82,21321,3.8459734534027485
2009,Charlottesville,51540,179,6418,27.890308507323155
2009,Virginia,NA,6700,1838361,3.6445507710400733
2008,Albemarle,51003,98,21306,4.599643292969117
2008,Charlottesville,51540,164,6298,26.04001270244522
2008,Virginia,51,7563,1838361,4.113990668862101
2007,Albemarle,51003,112,21044,5.32218209465881
2007,Charlottesville,51540,151,6304,23.953045685279186
2007,Virginia,51,8085,1834386,4.407469311257282
2006,Albemarle,51003,110,20845,5.277044854881266
2006,Charlottesville,51540,166,6315,26.286619160728424
2006,Virginia,51,8136,1826368,4.454742965273154
