location_type,location,time_frame,percent,number,school_year
State,Virginia,AY 2002-03,20.4,NA,2002-2003
State,Virginia,AY 2003-04,21.4,NA,2003-2004
State,Virginia,AY 2004-05,19.7,NA,2004-2005
State,Virginia,AY 2005-06,17.9,NA,2005-2006
State,Virginia,AY 2006-07,17.2,NA,2006-2007
State,Virginia,AY 2007-08,16.5,NA,2007-2008
State,Virginia,AY 2008-09,14.299999999999999,NA,2008-2009
State,Virginia,AY 2009-10,13.900000000000002,10789,2009-2010
State,Virginia,AY 2010-11,13.422,10355,2010-2011
State,Virginia,AY 2011-12,12.45,9837,2011-2012
State,Virginia,AY 2012-13,12.989,10445,2012-2013
State,Virginia,AY 2013-14,12.5,10095,2013-2014
State,Virginia,AY 2014-15,12.86,9978,2014-2015
State,Virginia,AY 2015-16,13.841999999999999,10623,2015-2016
County,Albemarle,AY 2002-03,16.045,NA,2002-2003
County,Albemarle,AY 2003-04,16.425,NA,2003-2004
County,Albemarle,AY 2004-05,12.527,NA,2004-2005
County,Albemarle,AY 2005-06,13.128,NA,2005-2006
County,Albemarle,AY 2006-07,11.491999999999999,NA,2006-2007
County,Albemarle,AY 2007-08,9.071,NA,2007-2008
County,Albemarle,AY 2008-09,10.633,NA,2008-2009
County,Albemarle,AY 2009-10,13.8,138,2009-2010
County,Albemarle,AY 2010-11,10.6,104,2010-2011
County,Albemarle,AY 2011-12,11.16,106,2011-2012
County,Albemarle,AY 2012-13,14.14,152,2012-2013
County,Albemarle,AY 2013-14,14.799999999999999,158,2013-2014
County,Albemarle,AY 2014-15,13.77,145,2014-2015
County,Albemarle,AY 2015-16,16.236,157,2015-2016
County,Charlottesville,AY 2002-03,25.679999999999996,NA,2002-2003
County,Charlottesville,AY 2003-04,17.595,NA,2003-2004
County,Charlottesville,AY 2004-05,NA,NA,2004-2005
County,Charlottesville,AY 2005-06,17.555,NA,2005-2006
County,Charlottesville,AY 2006-07,18.301000000000002,NA,2006-2007
County,Charlottesville,AY 2007-08,19.444,NA,2007-2008
County,Charlottesville,AY 2008-09,16.099,NA,2008-2009
County,Charlottesville,AY 2009-10,10.8,34,2009-2010
County,Charlottesville,AY 2010-11,10.6,34,2010-2011
County,Charlottesville,AY 2011-12,10.89,39,2011-2012
County,Charlottesville,AY 2012-13,16.029,67,2012-2013
County,Charlottesville,AY 2013-14,14.299999999999999,63,2013-2014
County,Charlottesville,AY 2014-15,14.81,61,2014-2015
County,Charlottesville,AY 2015-16,14.212,55,2015-2016
State,Virginia,AY 2016-17,14.6,11195,2016-2017
State,Virginia,AY 2017-18,16,12266,2017-2018
State,Virginia,FY 2018-19,17,13100,2018-2019
State,Virginia,2019-2020,15.7,12289,2019-2020
County,Albemarle,AY 2016-17,16,156,2016-2017
County,Albemarle,AY 2017-18,19,187,2017-2018
County,Albemarle,FY 2018-19,19,194,2018-2019
County,Albemarle,2019-2020,18.82,204,2019-2020
County,Charlottesville,AY 2016-17,16,61,2016-2017
County,Charlottesville,AY 2017-18,14.000000000000002,54,2017-2018
County,Charlottesville,FY 2018-19,16,60,2018-2019
County,Charlottesville,2019-2020,16.91,59,2019-2020
