year,group,total,pop,rate
2014,aian,2,388,5.154639175257732
2014,asian,2,7453,0.26834831611431637
2014,black,94,18359,5.120104580859524
2014,hispanic,3,7891,0.38017995184387277
2014,multi,6,4156,1.4436958614051971
2014,nhpi,0,79,0
2014,nonhispanic,201,138497,1.4512949738983516
2014,total,204,146388,1.3935568489220427
2014,white,100,114540,0.8730574471800244
2015,aian,0,346,0
2015,asian,0,7582,0
2015,black,94,18331,5.127925372320114
2015,hispanic,3,8088,0.370919881305638
2015,multi,10,4372,2.2872827081427265
2015,nhpi,0,86,0
2015,nonhispanic,182,140104,1.2990350025695196
2015,total,185,148192,1.2483804793781041
2015,white,81,115946,0.6986010729132527
2016,aian,3,413,7.263922518159807
2016,asian,2,7897,0.2532607319235153
2016,black,69,18248,3.7812362998684788
2016,hispanic,8,8127,0.9843730773963333
2016,multi,9,4408,2.041742286751361
2016,nhpi,0,100,0
2016,nonhispanic,149,141698,1.0515321317167496
2016,total,157,149825,1.0478892040714167
2016,white,74,116956,0.632716577174322
2017,aian,5,357,14.005602240896359
2017,asian,0,8588,0
2017,black,63,18834,3.345014335775725
2017,hispanic,7,8422,0.8311564948943244
2017,multi,9,4007,2.246069378587472
2017,nhpi,1,59,16.949152542372882
2017,nonhispanic,153,143170,1.0686596353984774
2017,total,160,151592,1.055464668320228
2017,white,82,118221,0.6936161934004957
2018,aian,0,354,0
2018,asian,0,8988,0
2018,black,82,19195,4.271945819223756
2018,hispanic,5,8699,0.5747787101965743
2018,multi,6,3640,1.6483516483516483
2018,nhpi,0,53,0
2018,nonhispanic,178,144698,1.2301483088916225
2018,total,183,153397,1.1929829136163028
2018,white,95,119867,0.7925450707867887
2019,aian,3,386,7.772020725388601
2019,asian,1,8917,0.112145340361108
2019,black,62,19089,3.247943842003248
2019,hispanic,12,8789,1.3653430424394128
2019,multi,12,3951,3.0372057706909645
2019,nhpi,0,72,0
2019,nonhispanic,153,145712,1.0500164708466015
2019,total,165,154501,1.0679542527232833
2019,white,87,121078,0.718545070120088
2020,aian,3,462,6.493506493506494
2020,asian,1,9294,0.10759629868732516
2020,black,67,18765,3.570476951771916
2020,hispanic,4,8895,0.44969083754918493
2020,multi,8,5220,1.5325670498084292
2020,nhpi,0,53,0
2020,nonhispanic,184,147141,1.2505012199183096
2020,total,188,156036,1.2048501627829473
2020,white,109,120917,0.9014447927090483
2021,aian,4,447,8.94854586129754
2021,asian,2,9461,0.2113941443822006
2021,black,63,18155,3.470118424676398
2021,hispanic,8,9187,0.8707956895613367
2021,multi,4,6697,0.5972823652381662
2021,nhpi,0,66,0
2021,nonhispanic,169,148848,1.1353864344834999
2021,total,177,158035,1.1200050621697724
2021,white,104,121546,0.8556431309956725
2022,aian,2,447,4.47427293064877
2022,asian,1,9461,0.1056970721911003
2022,black,117,18155,6.444505645827596
2022,hispanic,16,9187,1.7415913791226734
2022,multi,9,6697,1.3438853217858744
2022,nhpi,0,66,0
2022,nonhispanic,250,148848,1.6795657314844674
2022,total,266,158035,1.683171449362483
2022,white,137,121546,1.1271452783308378
