locality,fips,year,race,pop_17under
"Albemarle County, VA",51003,1990,American Indian or Alaska Native,19
"Albemarle County, VA",51003,1990,Asian or Pacific Islander,353
"Albemarle County, VA",51003,1990,Black or African American,1601
"Albemarle County, VA",51003,1990,White,13562
"Albemarle County, VA",51003,1991,American Indian or Alaska Native,18
"Albemarle County, VA",51003,1991,Asian or Pacific Islander,379
"Albemarle County, VA",51003,1991,Black or African American,1672
"Albemarle County, VA",51003,1991,White,13921
"Albemarle County, VA",51003,1992,American Indian or Alaska Native,20
"Albemarle County, VA",51003,1992,Asian or Pacific Islander,394
"Albemarle County, VA",51003,1992,Black or African American,1720
"Albemarle County, VA",51003,1992,White,14056
"Albemarle County, VA",51003,1993,American Indian or Alaska Native,22
"Albemarle County, VA",51003,1993,Asian or Pacific Islander,413
"Albemarle County, VA",51003,1993,Black or African American,1791
"Albemarle County, VA",51003,1993,White,14357
"Albemarle County, VA",51003,1994,American Indian or Alaska Native,23
"Albemarle County, VA",51003,1994,Asian or Pacific Islander,434
"Albemarle County, VA",51003,1994,Black or African American,1879
"Albemarle County, VA",51003,1994,White,14770
"Albemarle County, VA",51003,1995,American Indian or Alaska Native,26
"Albemarle County, VA",51003,1995,Asian or Pacific Islander,477
"Albemarle County, VA",51003,1995,Black or African American,1992
"Albemarle County, VA",51003,1995,White,15459
"Albemarle County, VA",51003,1996,American Indian or Alaska Native,31
"Albemarle County, VA",51003,1996,Asian or Pacific Islander,506
"Albemarle County, VA",51003,1996,Black or African American,2049
"Albemarle County, VA",51003,1996,White,15763
"Albemarle County, VA",51003,1997,American Indian or Alaska Native,33
"Albemarle County, VA",51003,1997,Asian or Pacific Islander,537
"Albemarle County, VA",51003,1997,Black or African American,2089
"Albemarle County, VA",51003,1997,White,15936
"Albemarle County, VA",51003,1998,American Indian or Alaska Native,32
"Albemarle County, VA",51003,1998,Asian or Pacific Islander,570
"Albemarle County, VA",51003,1998,Black or African American,2194
"Albemarle County, VA",51003,1998,White,16412
"Albemarle County, VA",51003,1999,American Indian or Alaska Native,31
"Albemarle County, VA",51003,1999,Asian or Pacific Islander,601
"Albemarle County, VA",51003,1999,Black or African American,2240
"Albemarle County, VA",51003,1999,White,16616
"Albemarle County, VA",51003,2000,American Indian or Alaska Native,35
"Albemarle County, VA",51003,2000,Asian or Pacific Islander,643
"Albemarle County, VA",51003,2000,Black or African American,2263
"Albemarle County, VA",51003,2000,White,16850
"Albemarle County, VA",51003,2001,American Indian or Alaska Native,40
"Albemarle County, VA",51003,2001,Asian or Pacific Islander,666
"Albemarle County, VA",51003,2001,Black or African American,2329
"Albemarle County, VA",51003,2001,White,16892
"Albemarle County, VA",51003,2002,American Indian or Alaska Native,50
"Albemarle County, VA",51003,2002,Asian or Pacific Islander,712
"Albemarle County, VA",51003,2002,Black or African American,2422
"Albemarle County, VA",51003,2002,White,16949
"Albemarle County, VA",51003,2003,American Indian or Alaska Native,59
"Albemarle County, VA",51003,2003,Asian or Pacific Islander,753
"Albemarle County, VA",51003,2003,Black or African American,2449
"Albemarle County, VA",51003,2003,White,16890
"Albemarle County, VA",51003,2004,American Indian or Alaska Native,59
"Albemarle County, VA",51003,2004,Asian or Pacific Islander,800
"Albemarle County, VA",51003,2004,Black or African American,2484
"Albemarle County, VA",51003,2004,White,16968
"Albemarle County, VA",51003,2005,American Indian or Alaska Native,79
"Albemarle County, VA",51003,2005,Asian or Pacific Islander,834
"Albemarle County, VA",51003,2005,Black or African American,2564
"Albemarle County, VA",51003,2005,White,17082
"Albemarle County, VA",51003,2006,American Indian or Alaska Native,81
"Albemarle County, VA",51003,2006,Asian or Pacific Islander,869
"Albemarle County, VA",51003,2006,Black or African American,2557
"Albemarle County, VA",51003,2006,White,17338
"Albemarle County, VA",51003,2007,American Indian or Alaska Native,90
"Albemarle County, VA",51003,2007,Asian or Pacific Islander,966
"Albemarle County, VA",51003,2007,Black or African American,2574
"Albemarle County, VA",51003,2007,White,17414
"Albemarle County, VA",51003,2008,American Indian or Alaska Native,100
"Albemarle County, VA",51003,2008,Asian or Pacific Islander,1022
"Albemarle County, VA",51003,2008,Black or African American,2592
"Albemarle County, VA",51003,2008,White,17592
"Albemarle County, VA",51003,2009,American Indian or Alaska Native,110
"Albemarle County, VA",51003,2009,Asian or Pacific Islander,1030
"Albemarle County, VA",51003,2009,Black or African American,2597
"Albemarle County, VA",51003,2009,White,17584
"Albemarle County, VA",51003,2010,American Indian or Alaska Native,112
"Albemarle County, VA",51003,2010,Asian or Pacific Islander,1047
"Albemarle County, VA",51003,2010,Black or African American,2554
"Albemarle County, VA",51003,2010,White,17589
"Albemarle County, VA",51003,2011,American Indian or Alaska Native,119
"Albemarle County, VA",51003,2011,Asian or Pacific Islander,1058
"Albemarle County, VA",51003,2011,Black or African American,2595
"Albemarle County, VA",51003,2011,White,17693
"Albemarle County, VA",51003,2012,American Indian or Alaska Native,115
"Albemarle County, VA",51003,2012,Asian or Pacific Islander,1116
"Albemarle County, VA",51003,2012,Black or African American,2587
"Albemarle County, VA",51003,2012,White,17758
"Albemarle County, VA",51003,2013,American Indian or Alaska Native,108
