GEOID,year,NAME,variable,estimate,moe,raceethn,totalpop
51,2009,Virginia,white,5458832,5757,race,7721730
51,2009,Virginia,black,1510139,3831,race,7721730
51,2009,Virginia,aian,22932,1401,race,7721730
51,2009,Virginia,asian,371788,2033,race,7721730
51,2009,Virginia,nhpi,5804,806,race,7721730
51,2009,Virginia,other,192534,5087,race,7721730
51,2009,Virginia,multi,159701,4542,race,7721730
51,2009,Virginia,nhwhite,5172149,2475,ethnicity,7721730
51,2009,Virginia,hispanic,514959,627,ethnicity,7721730
51,2010,Virginia,white,5479975,6073,race,7841754
51,2010,Virginia,black,1532150,3958,race,7841754
51,2010,Virginia,aian,24941,1674,race,7841754
51,2010,Virginia,asian,416549,1970,race,7841754
51,2010,Virginia,nhpi,5711,685,race,7841754
51,2010,Virginia,other,201692,5907,race,7841754
51,2010,Virginia,multi,180736,4763,race,7841754
51,2010,Virginia,nhwhite,5151070,2085,ethnicity,7841754
51,2010,Virginia,hispanic,574966,551,ethnicity,7841754
51,2011,Virginia,white,5526985,6695,race,7926192
51,2011,Virginia,black,1545568,3885,race,7926192
51,2011,Virginia,aian,25665,1918,race,7926192
51,2011,Virginia,asian,430227,2654,race,7926192
51,2011,Virginia,nhpi,5295,545,race,7926192
51,2011,Virginia,other,194281,6189,race,7926192
51,2011,Virginia,multi,198171,5956,race,7926192
51,2011,Virginia,nhwhite,5169156,1418,ethnicity,7926192
51,2011,Virginia,hispanic,604882,495,ethnicity,7926192
51,2012,Virginia,white,5575445,6533,race,8014955
51,2012,Virginia,black,1561042,4367,race,8014955
51,2012,Virginia,aian,25205,1709,race,8014955
51,2012,Virginia,asian,443460,2569,race,8014955
51,2012,Virginia,nhpi,5438,579,race,8014955
51,2012,Virginia,other,184403,6536,race,8014955
51,2012,Virginia,multi,219962,5636,race,8014955
51,2012,Virginia,nhwhite,5191698,1324,ethnicity,8014955
51,2012,Virginia,hispanic,631669,415,ethnicity,8014955
51,2013,Virginia,white,5627076,5673,race,8100653
51,2013,Virginia,black,1568021,4276,race,8100653
51,2013,Virginia,aian,24816,1745,race,8100653
51,2013,Virginia,asian,457792,2615,race,8100653
51,2013,Virginia,nhpi,5633,541,race,8100653
51,2013,Virginia,other,179449,5553,race,8100653
51,2013,Virginia,multi,237866,5569,race,8100653
51,2013,Virginia,nhwhite,5211870,1138,ethnicity,8100653
51,2013,Virginia,hispanic,659599,461,ethnicity,8100653
51,2014,Virginia,white,5668363,6990,race,8185131
51,2014,Virginia,black,1577943,3956,race,8185131
51,2014,Virginia,aian,23421,1583,race,8185131
51,2014,Virginia,asian,475632,3210,race,8185131
51,2014,Virginia,nhpi,5485,547,race,8185131
51,2014,Virginia,other,179166,5948,race,8185131
51,2014,Virginia,multi,255121,5604,race,8185131
51,2014,Virginia,nhwhite,5227415,1146,ethnicity,8185131
51,2014,Virginia,hispanic,687265,341,ethnicity,8185131
51,2015,Virginia,white,5695147,5990,race,8256630
51,2015,Virginia,black,1589345,3850,race,8256630
51,2015,Virginia,aian,22570,1347,race,8256630
51,2015,Virginia,asian,492973,2605,race,8256630
51,2015,Virginia,nhpi,5304,450,race,8256630
51,2015,Virginia,other,183124,5359,race,8256630
51,2015,Virginia,multi,268167,5593,race,8256630
51,2015,Virginia,nhwhite,5237848,1272,ethnicity,8256630
51,2015,Virginia,hispanic,709156,428,ethnicity,8256630
51,2016,Virginia,white,5712958,5302,race,8310301
51,2016,Virginia,black,1596352,4766,race,8310301
51,2016,Virginia,aian,21948,1243,race,8310301
51,2016,Virginia,asian,502878,2906,race,8310301
51,2016,Virginia,nhpi,5494,454,race,8310301
51,2016,Virginia,other,190972,5073,race,8310301
51,2016,Virginia,multi,279699,6294,race,8310301
51,2016,Virginia,nhwhite,5245259,1312,ethnicity,8310301
51,2016,Virginia,hispanic,725092,386,ethnicity,8310301
51,2017,Virginia,white,5720209,6499,race,8365952
51,2017,Virginia,black,1605447,4024,race,8365952
51,2017,Virginia,aian,22499,1303,race,8365952
51,2017,Virginia,asian,520119,2743,race,8365952
51,2017,Virginia,nhpi,5469,439,race,8365952
51,2017,Virginia,other,200265,6140,race,8365952
51,2017,Virginia,multi,291944,5308,race,8365952
51,2017,Virginia,nhwhite,5238967,1377,ethnicity,8365952
51,2017,Virginia,hispanic,749458,582,ethnicity,8365952
