year,group,cohortsize,enrolledany,percentany,enrolled4pub,percent4pub,enrolled4priv,percent4priv,enrolled2yr,pecen2yr,locality
2008,All Students,856,676,79,365,43,101,12,210,25,Albemarle
2009,All Students,916,747,82,398,43,119,13,230,25,Albemarle
2010,All Students,898,712,79,405,45,119,13,188,21,Albemarle
2011,All Students,919,696,76,404,44,101,11,191,21,Albemarle
2012,All Students,901,721,80,382,42,128,14,211,23,Albemarle
2013,All Students,918,719,78,391,43,124,14,204,22,Albemarle
2014,All Students,917,714,78,404,44,135,15,175,19,Albemarle
2015,All Students,908,722,80,419,46,108,12,195,21,Albemarle
2016,All Students,948,730,77,410,43,144,15,176,19,Albemarle
2017,All Students,953,740,78,432,45,98,10,210,22,Albemarle
2018,All Students,1016,742,73,436,43,107,11,199,20,Albemarle
2019,All Students,991,774,78,459,46,109,11,206,21,Albemarle
2020,All Students,999,745,75,420,42,98,10,227,23,Albemarle
2008,All Students,219,159,73,65,30,44,20,50,23,Charlottesville
2009,All Students,217,148,68,62,29,24,11,62,29,Charlottesville
2010,All Students,245,158,64,76,31,42,17,40,16,Charlottesville
2011,All Students,234,162,69,64,27,31,13,67,29,Charlottesville
2012,All Students,241,166,69,71,29,27,11,68,28,Charlottesville
2013,All Students,239,184,77,85,36,38,16,61,26,Charlottesville
2014,All Students,228,158,69,74,32,25,11,59,26,Charlottesville
2015,All Students,233,169,73,71,30,35,15,63,27,Charlottesville
2016,All Students,219,162,74,66,30,37,17,59,27,Charlottesville
2017,All Students,264,187,71,85,32,39,15,63,24,Charlottesville
2018,All Students,237,168,71,75,32,33,14,60,25,Charlottesville
2019,All Students,254,177,70,78,31,35,14,64,25,Charlottesville
2020,All Students,270,174,64,80,30,35,13,59,22,Charlottesville
2008,All Students,75185,54233,72,24886,33,7897,11,21450,29,Virginia
2009,All Students,77039,55295,72,24416,32,8527,11,22352,29,Virginia
2010,All Students,78806,55753,71,24369,31,8531,11,22853,29,Virginia
2011,All Students,80060,56556,71,25193,31,8269,10,23094,29,Virginia
2012,All Students,80586,57416,71,25895,32,8395,10,23126,29,Virginia
2013,All Students,81314,58210,72,26050,32,8577,11,23583,29,Virginia
2014,All Students,80763,58047,72,26319,33,8552,11,23176,29,Virginia
2015,All Students,80031,57830,72,27077,34,8219,10,22534,28,Virginia
2016,All Students,82494,58608,71,27602,33,8652,10,22354,27,Virginia
2017,All Students,83310,58981,71,28775,35,8559,10,21647,26,Virginia
2018,All Students,85891,57725,67,28934,34,8650,10,20141,23,Virginia
2019,All Students,86211,59369,69,29726,34,8819,10,20824,24,Virginia
2020,All Students,87316,57081,65,27641,32,8302,10,21138,24,Virginia
