division,year,school_year,alc,drug,otc,tob,students,alcdrug,rate
Albemarle,2007,2006-2007,10,23,1,38,12747,33,2.5888444339844665
Albemarle,2008,2007-2008,5,16,4,41,12802,21,1.6403686923918137
Albemarle,2009,2008-2009,6,28,9,33,12827,34,2.6506587666640677
Albemarle,2010,2009-2010,4,28,3,25,13045,32,2.4530471444998083
Albemarle,2011,2010-2011,9,28,0,24,13221,37,2.798578019816958
Albemarle,2012,2011-2012,17,44,4,19,13113,61,4.651872187905132
Albemarle,2013,2012-2013,5,15,2,24,13277,20,1.5063643895458312
Albemarle,2014,2013-2014,NA,NA,NA,NA,NA,NA,NA
Albemarle,2015,2014-2015,NA,NA,NA,NA,NA,NA,NA
Albemarle,2016,2015-2016,NA,NA,NA,NA,NA,NA,NA
Albemarle,2017,2016-2017,NA,NA,NA,NA,NA,NA,NA
Albemarle,2018,2017-2018,18,37,0,160,13937,55,3.946329913180742
Albemarle,2019,2018-2019,16,49,0,213,14013,65,4.638549917933348
Albemarle,2020,2019-2020,8,51,0,62,14435,59,4.087287842050572
Albemarle,2021,2020-2021,0,3,0,3,13532,3,0.22169671888856046
Charlottesville,2007,2006-2007,16,15,7,20,4226,31,7.335541883577852
Charlottesville,2008,2007-2008,3,0,1,2,4081,3,0.7351139426611125
Charlottesville,2009,2008-2009,1,18,1,1,4059,19,4.680955900468096
Charlottesville,2010,2009-2010,9,8,1,5,4014,17,4.235176880916791
Charlottesville,2011,2010-2011,9,12,1,17,4030,21,5.210918114143921
Charlottesville,2012,2011-2012,2,4,0,9,4175,6,1.437125748502994
Charlottesville,2013,2012-2013,6,10,0,12,4236,16,3.7771482530689333
Charlottesville,2014,2013-2014,NA,NA,NA,NA,NA,NA,NA
Charlottesville,2015,2014-2015,NA,NA,NA,NA,NA,NA,NA
Charlottesville,2016,2015-2016,NA,NA,NA,NA,NA,NA,NA
Charlottesville,2017,2016-2017,NA,NA,NA,NA,NA,NA,NA
Charlottesville,2018,2017-2018,6,9,0,24,4529,15,3.311989401633915
Charlottesville,2019,2018-2019,1,9,0,43,4561,10,2.1925016443762333
Charlottesville,2020,2019-2020,3,18,0,17,4544,21,4.621478873239437
Charlottesville,2021,2020-2021,0,0,0,1,4258,0,0
Virginia,2007,2006-2007,894,2921,208,5760,1220824,3815,3.1249385660832356
Virginia,2008,2007-2008,847,2747,362,5501,1231306,3594,2.9188520156646685
Virginia,2009,2008-2009,938,3154,412,5431,1235498,4092,3.312024786766146
Virginia,2010,2009-2010,899,3216,385,4774,1245036,4115,3.305125313645549
Virginia,2011,2010-2011,842,3118,305,4256,1252266,3960,3.1622674415819003
Virginia,2012,2011-2012,745,3485,360,4486,1258896,4230,3.360086933312998
Virginia,2013,2012-2013,799,12537,332,4079,1265277,13336,10.539984525127698
Virginia,2014,2013-2014,753,2968,261,3848,1273532,3721,2.9217954476212613
Virginia,2015,2014-2015,696,2885,295,4500,1280370,3581,2.796847786186805
Virginia,2016,2015-2016,740,2955,301,4004,1284114,3695,2.8774703803556383
Virginia,2017,2016-2017,678,2878,287,3337,1288033,3556,2.7607988304647475
Virginia,2018,2017-2018,724,3210,0,5698,1292706,3934,3.043228700106598
Virginia,2019,2018-2019,741,3557,0,11000,1290513,4298,3.330458507585743
Virginia,2020,2019-2020,586,2817,0,6440,1298083,3403,2.621558097594684
Virginia,2021,2020-2021,57,435,0,1665,1252752,492,0.39273535384497493
