division_number,division_name,school_year,count,year,students,rate
2,Albemarle,2017-2018,352,2018,13937,25.256511444356747
2,Albemarle,2018-2019,332,2019,14013,23.692285734674947
2,Albemarle,2019-2020,320,2020,14435,22.16834083824039
2,Albemarle,2020-2021,9,2021,13532,0.6650901566656813
104,Charlottesville,2017-2018,131,2018,4529,28.92470744093619
104,Charlottesville,2018-2019,118,2019,4561,25.871519403639553
104,Charlottesville,2019-2020,145,2020,4544,31.910211267605632
104,Charlottesville,2020-2021,2,2021,4258,0.46970408642555195
0,Virginia,2017-2018,48040,2018,1292706,37.1623555549367
0,Virginia,2018-2019,50040,2019,1290513,38.77527773838776
0,Virginia,2019-2020,38040,2020,1298083,29.304751699236487
0,Virginia,2020-2021,3292,2021,1252752,2.627814603369222
