school_year,division_name,subject,test_level,pass_count,total_count,pass_rate
2005-2006,Albemarle County,English:Reading,Grade 3,732,833,87.88
2005-2006,Albemarle County,Mathematics,Grade 3,768,845,90.89
2005-2006,Albemarle County,English:Reading,Grade 5,818,876,93.38
2005-2006,Albemarle County,Mathematics,Grade 5,725,855,84.8
2005-2006,Albemarle County,English:Reading,Grade 8,772,898,85.97
2005-2006,Albemarle County,Mathematics,Grade 8,1358,1509,89.99
2005-2006,Charlottesville City,English:Reading,Grade 3,218,281,77.58
2005-2006,Charlottesville City,Mathematics,Grade 3,247,288,85.76
2005-2006,Charlottesville City,English:Reading,Grade 5,194,249,77.91
2005-2006,Charlottesville City,Mathematics,Grade 5,192,249,77.11
2005-2006,Charlottesville City,English:Reading,Grade 8,177,300,59
2005-2006,Charlottesville City,Mathematics,Grade 8,176,294,59.86
2006-2007,Albemarle County,English:Reading,Grade 3,755,894,84.45
2006-2007,Albemarle County,Mathematics,Grade 3,806,904,89.16
2006-2007,Albemarle County,English:Reading,Grade 5,786,843,93.24
2006-2007,Albemarle County,Mathematics,Grade 5,775,845,91.72
2006-2007,Albemarle County,English:Reading,Grade 8,773,937,82.5
2006-2007,Albemarle County,Mathematics,Grade 8,627,803,78.08
2006-2007,Charlottesville City,English:Reading,Grade 3,206,258,79.84
2006-2007,Charlottesville City,Mathematics,Grade 3,243,272,89.34
2006-2007,Charlottesville City,English:Reading,Grade 5,201,245,82.04
2006-2007,Charlottesville City,Mathematics,Grade 5,222,255,87.06
2006-2007,Charlottesville City,English:Reading,Grade 8,152,269,56.51
2006-2007,Charlottesville City,Mathematics,Grade 8,173,283,61.13
2007-2008,Albemarle County,English:Reading,Grade 3,767,876,87.56
2007-2008,Albemarle County,Mathematics,Grade 3,813,885,91.86
2007-2008,Albemarle County,English:Reading,Grade 5,762,824,92.48
2007-2008,Albemarle County,Mathematics,Grade 5,762,830,91.81
2007-2008,Albemarle County,English:Reading,Grade 8,804,917,87.68
2007-2008,Albemarle County,Mathematics,Grade 8,347,420,82.62
2007-2008,Charlottesville City,English:Reading,Grade 3,255,297,85.86
2007-2008,Charlottesville City,Mathematics,Grade 3,265,303,87.46
2007-2008,Charlottesville City,English:Reading,Grade 5,191,245,77.96
2007-2008,Charlottesville City,Mathematics,Grade 5,195,258,75.58
2007-2008,Charlottesville City,English:Reading,Grade 8,177,272,65.07
2007-2008,Charlottesville City,Mathematics,Grade 8,210,287,73.17
2008-2009,Albemarle County,English:Reading,Grade 3,866,954,90.78
2008-2009,Albemarle County,Mathematics,Grade 3,893,961,92.92
2008-2009,Albemarle County,English:Reading,Grade 5,840,894,93.96
2008-2009,Albemarle County,Mathematics,Grade 5,836,894,93.51
2008-2009,Albemarle County,English:Reading,Grade 8,821,883,92.98
2008-2009,Albemarle County,Mathematics,Grade 8,372,403,92.31
2008-2009,Charlottesville City,English:Reading,Grade 3,236,270,87.41
2008-2009,Charlottesville City,Mathematics,Grade 3,264,283,93.29
2008-2009,Charlottesville City,English:Reading,Grade 5,197,232,84.91
2008-2009,Charlottesville City,Mathematics,Grade 5,210,244,86.07
2008-2009,Charlottesville City,English:Reading,Grade 8,193,247,78.14
2008-2009,Charlottesville City,Mathematics,Grade 8,86,126,68.25
2009-2010,Albemarle County,English:Reading,Grade 3,821,941,87.25
2009-2010,Albemarle County,Mathematics,Grade 3,889,950,93.58
2009-2010,Albemarle County,English:Reading,Grade 5,842,889,94.71
2009-2010,Albemarle County,Mathematics,Grade 5,840,901,93.23
2009-2010,Albemarle County,English:Reading,Grade 8,829,868,95.51
2009-2010,Albemarle County,Mathematics,Grade 8,309,346,89.31
2009-2010,Charlottesville City,English:Reading,Grade 3,223,263,84.79
2009-2010,Charlottesville City,Mathematics,Grade 3,247,266,92.86
2009-2010,Charlottesville City,English:Reading,Grade 5,195,259,75.29
2009-2010,Charlottesville City,Mathematics,Grade 5,212,262,80.92
2009-2010,Charlottesville City,English:Reading,Grade 8,189,226,83.63
2009-2010,Charlottesville City,Mathematics,Grade 8,95,133,71.43
2010-2011,Albemarle County,English:Reading,Grade 3,835,967,86.35
2010-2011,Albemarle County,Mathematics,Grade 3,899,983,91.45
2010-2011,Albemarle County,English:Reading,Grade 5,900,975,92.31
2010-2011,Albemarle County,Mathematics,Grade 5,897,982,91.34
2010-2011,Albemarle County,English:Reading,Grade 8,881,937,94.02
2010-2011,Albemarle County,Mathematics,Grade 8,371,416,89.18
2010-2011,Charlottesville City,English:Reading,Grade 3,265,302,87.75
2010-2011,Charlottesville City,Mathematics,Grade 3,281,305,92.13
2010-2011,Charlottesville City,English:Reading,Grade 5,188,249,75.5
2010-2011,Charlottesville City,Mathematics,Grade 5,209,258,81.01
2010-2011,Charlottesville City,English:Reading,Grade 8,187,237,78.9
2010-2011,Charlottesville City,Mathematics,Grade 8,71,127,55.91
2011-2012,Albemarle County,English:Reading,Grade 3,792,925,85.62
2011-2012,Albemarle County,Mathematics,Grade 3,555,926,59.94
2011-2012,Albemarle County,English:Reading,Grade 5,820,941,87.14
2011-2012,Albemarle County,Mathematics,Grade 5,653,950,68.74
2011-2012,Albemarle County,English:Reading,Grade 8,868,940,92.34
2011-2012,Albemarle County,Mathematics,Grade 8,241,349,69.05
2011-2012,Charlottesville City,English:Reading,Grade 3,266,296,89.86
2011-2012,Charlottesville City,Mathematics,Grade 3,224,293,76.45
2011-2012,Charlottesville City,English:Reading,Grade 5,215,251,85.66
2011-2012,Charlottesville City,Mathematics,Grade 5,160,252,63.49
2011-2012,Charlottesville City,English:Reading,Grade 8,181,222,81.53
2011-2012,Charlottesville City,Mathematics,Grade 8,40,93,43.01
2012-2013,Albemarle County,English:Reading,Grade 3,674,948,71.1
2012-2013,Albemarle County,Mathematics,Grade 3,539,954,56.5
2012-2013,Albemarle County,English:Reading,Grade 5,713,939,75.93
2012-2013,Albemarle County,Mathematics,Grade 5,648,936,69.23
2012-2013,Albemarle County,English:Reading,Grade 8,747,947,78.88
2012-2013,Albemarle County,Mathematics,Grade 8,187,344,54.36
2012-2013,Charlottesville City,English:Reading,Grade 3,223,291,76.63
2012-2013,Charlottesville City,Mathematics,Grade 3,204,293,69.62
2012-2013,Charlottesville City,English:Reading,Grade 5,170,262,64.89
2012-2013,Charlottesville City,Mathematics,Grade 5,171,266,64.29
2012-2013,Charlottesville City,English:Reading,Grade 8,165,251,65.74
2012-2013,Charlottesville City,Mathematics,Grade 8,45,97,46.39
2013-2014,Albemarle County,English:Reading,Grade 3,689,950,72.53
2013-2014,Albemarle County,Mathematics,Grade 3,603,959,62.88
2013-2014,Albemarle County,English:Reading,Grade 5,685,898,76.28
2013-2014,Albemarle County,Mathematics,Grade 5,664,898,73.94
2013-2014,Albemarle County,English:Reading,Grade 8,771,985,78.27
2013-2014,Albemarle County,Mathematics,Grade 8,204,336,60.71
2013-2014,Charlottesville City,English:Reading,Grade 3,230,314,73.25
2013-2014,Charlottesville City,Mathematics,Grade 3,226,319,70.85
2013-2014,Charlottesville City,English:Reading,Grade 5,177,247,71.66
2013-2014,Charlottesville City,Mathematics,Grade 5,113,181,62.43
2013-2014,Charlottesville City,English:Reading,Grade 8,149,224,66.52
2013-2014,Charlottesville City,Mathematics,Grade 8,109,150,72.67
2014-2015,Albemarle County,English:Reading,Grade 3,656,902,72.73
2014-2015,Albemarle County,Mathematics,Grade 3,644,915,70.38
2014-2015,Albemarle County,English:Reading,Grade 5,736,970,75.88
2014-2015,Albemarle County,Mathematics,Grade 5,725,975,74.36
2014-2015,Albemarle County,English:Reading,Grade 8,769,948,81.12
2014-2015,Albemarle County,Mathematics,Grade 8,209,345,60.58
2014-2015,Charlottesville City,English:Reading,Grade 3,261,315,82.86
2014-2015,Charlottesville City,Mathematics,Grade 3,252,322,78.26
2014-2015,Charlottesville City,English:Reading,Grade 5,172,254,67.72
2014-2015,Charlottesville City,Mathematics,Grade 5,121,188,64.36
2014-2015,Charlottesville City,English:Reading,Grade 8,168,227,74.01
2014-2015,Charlottesville City,Mathematics,Grade 8,118,160,73.75
2015-2016,Albemarle County,English:Reading,Grade 3,767,1013,75.72
2015-2016,Albemarle County,Mathematics,Grade 3,748,1040,71.92
2015-2016,Albemarle County,English:Reading,Grade 5,774,984,78.66
2015-2016,Albemarle County,Mathematics,Grade 5,747,980,76.22
2015-2016,Albemarle County,English:Reading,Grade 8,728,957,76.07
2015-2016,Albemarle County,Mathematics,Grade 8,215,369,58.27
2015-2016,Charlottesville City,English:Reading,Grade 3,238,339,70.21
2015-2016,Charlottesville City,Mathematics,Grade 3,262,347,75.5
2015-2016,Charlottesville City,English:Reading,Grade 5,180,268,67.16
2015-2016,Charlottesville City,Mathematics,Grade 5,121,203,59.61
2015-2016,Charlottesville City,English:Reading,Grade 8,163,243,67.08
2015-2016,Charlottesville City,Mathematics,Grade 8,157,203,77.34
2016-2017,Albemarle County,English:Reading,Grade 3,716,1011,70.82
2016-2017,Albemarle County,Mathematics,Grade 3,721,1029,70.07
2016-2017,Albemarle County,English:Reading,Grade 5,728,896,81.25
2016-2017,Albemarle County,Mathematics,Grade 5,699,897,77.93
2016-2017,Albemarle County,English:Reading,Grade 8,727,933,77.92
2016-2017,Albemarle County,Mathematics,Grade 8,229,341,67.16
2016-2017,Charlottesville City,English:Reading,Grade 3,276,382,72.25
2016-2017,Charlottesville City,Mathematics,Grade 3,285,392,72.7
2016-2017,Charlottesville City,English:Reading,Grade 5,200,282,70.92
2016-2017,Charlottesville City,Mathematics,Grade 5,139,225,61.78
2016-2017,Charlottesville City,English:Reading,Grade 8,164,233,70.39
2016-2017,Charlottesville City,Mathematics,Grade 8,129,165,78.18
2017-2018,Albemarle County,English:Reading,Grade 3,774,1098,70.49
2017-2018,Albemarle County,Mathematics,Grade 3,749,1101,68.03
2017-2018,Albemarle County,English:Reading,Grade 5,836,1056,79.17
2017-2018,Albemarle County,Mathematics,Grade 5,802,1060,75.66
2017-2018,Albemarle County,English:Reading,Grade 8,759,981,77.37
2017-2018,Albemarle County,Mathematics,Grade 8,215,371,57.95
2017-2018,Charlottesville City,English:Reading,Grade 3,228,363,62.81
2017-2018,Charlottesville City,Mathematics,Grade 3,228,365,62.47
2017-2018,Charlottesville City,English:Reading,Grade 5,192,310,61.94
2017-2018,Charlottesville City,Mathematics,Grade 5,126,247,51.01
2017-2018,Charlottesville City,English:Reading,Grade 8,157,247,63.56
2017-2018,Charlottesville City,Mathematics,Grade 8,101,167,60.48
2018-2019,Albemarle County,English:Reading,Grade 3,701,1004,69.82
2018-2019,Albemarle County,Mathematics,Grade 3,797,1006,79.22
2018-2019,Albemarle County,English:Reading,Grade 5,814,1040,78.27
2018-2019,Albemarle County,Mathematics,Grade 5,853,1039,82.1
2018-2019,Albemarle County,English:Reading,Grade 8,801,1012,79.15
2018-2019,Albemarle County,Mathematics,Grade 8,231,349,66.19
2018-2019,Charlottesville City,English:Reading,Grade 3,266,378,70.37
2018-2019,Charlottesville City,Mathematics,Grade 3,286,380,75.26
2018-2019,Charlottesville City,English:Reading,Grade 5,200,350,57.14
