school_year,division,students
2003-2004,Albemarle,12559
2003-2004,Charlottesville,4416
2004-2005,Albemarle,12433
2004-2005,Charlottesville,4383
2005-2006,Albemarle,12779
2005-2006,Charlottesville,4331
2006-2007,Albemarle,12747
2006-2007,Charlottesville,4226
2007-2008,Albemarle,12802
2007-2008,Charlottesville,4081
2008-2009,Albemarle,12827
2008-2009,Charlottesville,4059
2009-2010,Albemarle,13045
2009-2010,Charlottesville,4014
2010-2011,Albemarle,13221
2010-2011,Charlottesville,4030
2011-2012,Albemarle,13113
2011-2012,Charlottesville,4175
2012-2013,Albemarle,13277
2012-2013,Charlottesville,4236
2013-2014,Albemarle,13432
2013-2014,Charlottesville,4340
2014-2015,Albemarle,13689
2014-2015,Charlottesville,4356
2015-2016,Albemarle,13772
2015-2016,Charlottesville,4382
2016-2017,Albemarle,13818
2016-2017,Charlottesville,4478
2017-2018,Albemarle,13937
2017-2018,Charlottesville,4529
2018-2019,Albemarle,14013
2018-2019,Charlottesville,4561
2019-2020,Albemarle,14435
2019-2020,Charlottesville,4544
2020-2021,Albemarle,13532
2020-2021,Charlottesville,4258
2021-2022,Albemarle,13749
2021-2022,Charlottesville,4290
2022-2023,Albemarle,13970
2022-2023,Charlottesville,4491
2003-2004,Virginia,1191010
2004-2005,Virginia,1204040
2005-2006,Virginia,1214124
2006-2007,Virginia,1220824
2007-2008,Virginia,1231306
2008-2009,Virginia,1235498
2009-2010,Virginia,1245036
2010-2011,Virginia,1252266
2011-2012,Virginia,1258896
2012-2013,Virginia,1265277
2013-2014,Virginia,1273532
2014-2015,Virginia,1280370
2015-2016,Virginia,1284114
2016-2017,Virginia,1288033
2017-2018,Virginia,1292706
2018-2019,Virginia,1290513
2019-2020,Virginia,1298083
2020-2021,Virginia,1252752
2021-2022,Virginia,1251970
2022-2023,Virginia,1263342
