locality,from15to17pregnancies,from15to17births,year,from15to17pregnancyrate,from15to17birthsrate,pregnancyrate_3yr,birthsrate_3yr
Albemarle County,25,16,2000,16,10.3,NA,NA
Albemarle County,23,17,2001,14.7,10.9,14.9,10.566666666666668
Albemarle County,24,18,2002,14,10.5,14.133333333333335,11.166666666666666
Albemarle County,25,22,2003,13.7,12.1,13.266666666666667,10.466666666666667
Albemarle County,22,16,2004,12.1,8.8,13.5,9.5
Albemarle County,27,14,2005,14.7,7.6,13.666666666666666,9.100000000000001
Albemarle County,26,20,2006,14.2,10.9,14.133333333333335,9.933333333333335
Albemarle County,25,21,2007,13.5,11.3,14.366666666666667,11.066666666666668
Albemarle County,28,20,2008,15.4,11,12.100000000000001,9.333333333333334
Albemarle County,13,10,2009,7.4,5.7,10.933333333333335,8.166666666666666
Albemarle County,18,14,2010,10,7.8,8.800000000000002,6.566666666666667
Albemarle County,16,11,2011,9,6.2,8.933333333333335,6.533333333333334
Albemarle County,14,10,2012,7.8,5.6,7.400000000000001,5.2
Albemarle County,10,7,2013,5.4,3.8,5.9333333333333345,4.333333333333334
Albemarle County,9,7,2014,4.6,3.6,4.333333333333335,2.9666666666666672
Albemarle County,6,3,2015,3,1.5,3.3666666666666676,2.366666666666667
Albemarle County,5,4,2016,2.5,2,2.0000000000000013,1.333333333333334
Albemarle County,1,1,2017,0.5,0.5,2.7333333333333343,2.5666666666666673
Albemarle County,10,10,2018,5.2,5.2,3.166666666666668,2.633333333333334
Albemarle County,7,4,2019,3.8,2.2,5.133333333333335,3.5333333333333337
Albemarle County,12,6,2020,6.4,3.2,NA,NA
Charlottesville City,25,14,2000,47.9,26.8,NA,NA
Charlottesville City,30,10,2001,57.5,19.2,57.76666666666667,29.066666666666666
Charlottesville City,33,20,2002,67.9,41.2,61.5,29.96666666666667
Charlottesville City,28,14,2003,59.1,29.5,66.36666666666667,36.733333333333334
Charlottesville City,31,17,2004,72.1,39.5,63.56666666666666,29.833333333333332
Charlottesville City,29,10,2005,59.5,20.5,65.23333333333333,27.833333333333332
Charlottesville City,30,11,2006,64.1,23.5,53.26666666666667,20.7
Charlottesville City,18,9,2007,36.2,18.1,48.666666666666664,22.866666666666664
Charlottesville City,22,13,2008,45.7,27,41.400000000000006,21.366666666666664
Charlottesville City,20,9,2009,42.3,19,34.96666666666667,19.566666666666666
Charlottesville City,8,6,2010,16.9,12.7,31.76666666666667,15.833333333333334
Charlottesville City,16,7,2011,36.1,15.8,28.133333333333336,15.066666666666668
Charlottesville City,15,8,2012,31.4,16.7,27.36666666666667,15
Charlottesville City,7,6,2013,14.6,12.5,17.46666666666667,10.433333333333332
Charlottesville City,3,1,2014,6.4,2.1,7.766666666666668,5.633333333333333
Charlottesville City,1,1,2015,2.3,2.3,5.066666666666669,2.9000000000000004
Charlottesville City,3,2,2016,6.5,4.3,5.600000000000001,2.866666666666667
Charlottesville City,4,1,2017,8,2,7.566666666666669,4.133333333333334
Charlottesville City,4,3,2018,8.2,6.1,9.600000000000001,5.5
Charlottesville City,6,4,2019,12.6,8.4,9.066666666666668,6.966666666666668
Charlottesville City,3,3,2020,6.4,6.4,NA,NA
Commonwealth Of Virginia,4623,2957,2000,33.4,21.4,NA,NA
Commonwealth Of Virginia,4422,2906,2001,32,21,31.3,20.433333333333334
Commonwealth Of Virginia,4134,2746,2002,28.5,18.9,29.200000000000003,19.099999999999998
Commonwealth Of Virginia,4017,2570,2003,27.1,17.4,27.200000000000003,17.933333333333334
Commonwealth Of Virginia,3906,2633,2004,26,17.5,26.100000000000005,17.066666666666666
Commonwealth Of Virginia,3893,2521,2005,25.2,16.3,25.5,16.900000000000002
Commonwealth Of Virginia,3918,2617,2006,25.3,16.9,25.166666666666668,16.633333333333333
Commonwealth Of Virginia,3887,2605,2007,25,16.7,24.8,16.366666666666664
Commonwealth Of Virginia,3686,2369,2008,24.1,15.5,23.8,15.566666666666668
Commonwealth Of Virginia,3369,2188,2009,22.3,14.5,21.733333333333338,14.166666666666666
Commonwealth Of Virginia,2936,1955,2010,18.8,12.5,19.133333333333336,12.700000000000001
Commonwealth Of Virginia,2492,1708,2011,16.3,11.1,16.46666666666667,11.266666666666666
Commonwealth Of Virginia,2182,1559,2012,14.3,10.2,13.966666666666669,9.766666666666666
Commonwealth Of Virginia,1712,1208,2013,11.3,8,12.06666666666667,8.633333333333333
Commonwealth Of Virginia,1619,1169,2014,10.6,7.7,10.500000000000002,7.533333333333334
Commonwealth Of Virginia,1478,1055,2015,9.6,6.9,9.633333333333335,6.933333333333334
Commonwealth Of Virginia,1346,961,2016,8.7,6.2,8.800000000000002,6.3
Commonwealth Of Virginia,1261,908,2017,8.1,5.8,8.16666666666667,5.8999999999999995
Commonwealth Of Virginia,1197,879,2018,7.7,5.7,7.666666666666669,5.6000000000000005
Commonwealth Of Virginia,1120,824,2019,7.2,5.3,7.300000000000002,5.366666666666667
Commonwealth Of Virginia,1086,801,2020,7,5.1,NA,NA
