locality,fips,voters,year,pop_18over,reg_rate
Albemarle County,003,52335,2000,62569,0.8364365740222794
Charlottesville City,540,21578,2000,33995,0.6347404030004412
Virginia,51,4084157,2000,5276661,0.774004052941813
Albemarle County,003,52593,2001,63861,0.8235542819561235
Charlottesville City,540,21601,2001,34092,0.6336090578434823
Virginia,51,4121596,2001,5354798,0.7697014901402444
Albemarle County,003,54293,2002,64744,0.838579636723094
Charlottesville City,540,22154,2002,34218,0.6474370214506985
Virginia,51,4231780,2002,5424420,0.7801350190435107
Albemarle County,003,54204,2003,66098,0.8200550697449243
Charlottesville City,540,21301,2003,33661,0.632809482784231
Virginia,51,4233240,2003,5490804,0.7709690602687694
Albemarle County,003,58587,2004,67688,0.8655448528542725
Charlottesville City,540,23347,2004,33487,0.6971959267775555
Virginia,51,4528122,2004,5577222,0.8118955996372388
Albemarle County,003,59263,2005,69530,0.8523371206673378
Charlottesville City,540,22960,2005,33852,0.6782464846980976
Virginia,51,4463113,2005,5660768,0.7884288845612468
Albemarle County,003,61125,2006,71335,0.8568725029789024
Charlottesville City,540,23631,2006,34245,0.6900569426193605
Virginia,51,4565457,2006,5742334,0.7950524995585418
Albemarle County,003,61544,2007,72199,0.8524217786949958
Charlottesville City,540,23675,2007,34697,0.6823356486151541
Virginia,51,4574896,2007,5806833,0.7878470071379701
Albemarle County,003,67351,2008,73763,0.9130729498529073
Charlottesville City,540,28723,2008,35294,0.8138210460701536
Virginia,51,5049075,2008,5881327,0.8584924796733798
Albemarle County,003,67380,2009,74609,0.9031082041040626
Charlottesville City,540,27610,2009,36094,0.7649470826176096
Virginia,51,4964127,2009,5961768,0.832660210863623
Albemarle County,003,69374,2010,75623,0.9173664096901736
Charlottesville City,540,28265,2010,36431,0.7758502374351514
Virginia,51,5051374,2010,6045472,0.835563211606968
Albemarle County,003,70281,2011,76407,0.9198240998861361
Charlottesville City,540,28636,2011,36705,0.7801661898923853
Virginia,51,5134825,2011,6117377,0.839383448167409
Albemarle County,003,74610,2012,77489,0.9628463394804424
Charlottesville City,540,33166,2012,37313,0.8888591107656849
Virginia,51,5437371,2012,6193205,0.8779575357185819
Albemarle County,003,70604,2013,78123,0.9037543361110044
Charlottesville City,540,32341,2013,37590,0.8603617983506252
Virginia,51,5250029,2013,6256468,0.8391362346934405
Albemarle County,003,72062,2014,79342,0.9082453177383983
Charlottesville City,540,32389,2014,38010,0.8521178637200737
Virginia,51,5294680,2014,6311175,0.8389372818849105
Albemarle County,003,72070,2015,80604,0.8941243610738921
Charlottesville City,540,31741,2015,38671,0.8207959452819943
Virginia,51,5221586,2015,6356710,0.8214290096606578
Albemarle County,003,77349,2016,81945,0.9439136005857588
Charlottesville City,540,35775,2016,39192,0.9128138395590937
Virginia,51,5630349,2016,6400225,0.8797111039065033
Albemarle County,003,75556,2017,83357,0.9064145782597742
Charlottesville City,540,32015,2017,39576,0.8089498686072367
Virginia,51,5509885,2017,6449480,0.8543146114105323
Albemarle County,003,78581,2018,84226,0.9329779403034693
Charlottesville City,540,33811,2018,39489,0.8562131226417483
Virginia,51,5701962,2018,6489235,0.878680152591176
Albemarle County,003,78026,2019,85169,0.9161314562810412
Charlottesville City,540,32968,2019,39345,0.8379209556487482
Virginia,51,5660990,2019,6533827,0.8664125940279717
Albemarle County,003,82060,2020,85874,0.9555860912499708
Charlottesville City,540,35002,2020,39035,0.8966824644549763
Virginia,51,6017993,2020,6567507,0.9163283723945783
Albemarle County,003,82273,2021,85874,0.9580664694785384
Charlottesville City,540,33647,2021,39035,0.8619700268989369
Virginia,51,5992730,2021,6567507,0.9124817072901483
