locality,year,incrate_stis,year3,incrate_hiv,total_incrate_3yr
Albemarle,2002,4.167674975128391,2001-2003,0,4.167674975128391
Albemarle,2003,5.1318567990964,2002-2004,0,5.1318567990964
Albemarle,2004,5.335936967825435,2003-2005,0,5.335936967825435
Albemarle,2005,5.5910543130990416,2004-2006,0.023077633157943322,5.614131946256985
Albemarle,2006,5.1528605277081265,2005-2007,0.023077633157943322,5.17593816086607
Albemarle,2007,4.638154061298217,2006-2008,0.0466614263752444,4.684815487673462
Albemarle,2008,4.772153083185178,2007-2009,0.02358379321730107,4.795736876402479
Albemarle,2009,4.711127453233442,2008-2010,0.02358379321730107,4.734711246450743
Albemarle,2010,5.056607150847989,2009-2011,0.02176657524705063,5.078373726095039
Albemarle,2011,4.619843535487807,2010-2012,0.06482733397761946,4.684670869465426
Albemarle,2012,4.177545691906006,2011-2013,0.08680922090279312,4.264354912808799
Albemarle,2013,3.873860149295959,2012-2014,0.06504264565574248,3.9389027949517015
Albemarle,2014,3.881208843923073,2013-2015,0.021981886925173656,3.9031907308482467
Albemarle,2015,4.305681769007746,2014-2016,0,4.305681769007746
Albemarle,2016,4.9191999827396495,2015-2017,0,4.9191999827396495
Albemarle,2017,5.34263986729572,2016-2018,0,5.34263986729572
Albemarle,2018,5.773846852496594,2017-2019,0,5.773846852496594
Albemarle,2019,5.078555529142264,2018-2020,0,5.078555529142264
Albemarle,2020,4.9695004905515505,2019-2021,0,4.9695004905515505
Charlottesville,2002,22.46985750822068,2001-2003,0.1851851851851852,22.655042693405868
Charlottesville,2003,27.118136189976777,2002-2004,0.1851851851851852,27.303321375161964
Charlottesville,2004,31.25,2003-2005,0.1851851851851852,31.435185185185187
Charlottesville,2005,24.095359727543634,2004-2006,0.07685804319422028,24.172217770737856
Charlottesville,2006,19.47290216626261,2005-2007,0.15247812788871515,19.625380294151327
Charlottesville,2007,20.06079027355623,2006-2008,0.15247812788871515,20.213268401444946
Charlottesville,2008,26.687835488016933,2007-2009,0.2269976202682157,26.914833108285148
Charlottesville,2009,30.908811317853303,2008-2010,0.23098903147372882,31.139800349327032
Charlottesville,2010,31.932902431517395,2009-2011,0.30666061679344125,32.239563048310835
Charlottesville,2011,29.14001421464108,2010-2012,0.15528308121972043,29.295297295860802
Charlottesville,2012,24.742101869761445,2011-2013,0.07567158531971245,24.817773455081156
Charlottesville,2013,19.669421487603305,2012-2014,0,19.669421487603305
Charlottesville,2014,14.502307185234015,2013-2015,0,14.502307185234015
Charlottesville,2015,11.416626467277698,2014-2016,0,11.416626467277698
Charlottesville,2016,11.371769383697812,2015-2017,0,11.371769383697812
Charlottesville,2017,11.350200993142588,2016-2018,0.07900766374338311,11.42920865688597
Charlottesville,2018,11.853959222380276,2017-2019,0.07900766374338311,11.932966886123658
Charlottesville,2019,10.295291300877892,2018-2020,0.07900766374338311,10.374298964621275
Charlottesville,2020,9.695512820512821,2019-2021,0,9.695512820512821
Virginia,2002,10.392355178948426,2001-2003,0.035482811761095565,10.427837990709522
Virginia,2003,10.364211969502277,2002-2004,0.034081226755799526,10.398293196258077
Virginia,2004,10.292867356271497,2003-2005,0.033835144527423956,10.326702500798921
Virginia,2005,10.346616151365492,2004-2006,0.03742235598634857,10.38403850735184
Virginia,2006,10.339178765133438,2005-2007,0.0455713200017,10.384750085135138
Virginia,2007,11.376277671051884,2006-2008,0.060324345598594155,11.436602016650479
Virginia,2008,12.321328119285267,2007-2009,0.06363975620451161,12.384967875489778
Virginia,2009,12.79484579514855,2008-2010,0.06276759889125437,12.857613394039804
Virginia,2010,12.510619682233747,2009-2011,0.053205037643309284,12.563824719877056
Virginia,2011,11.960292320072805,2010-2012,0.04785610706744636,12.00814842714025
Virginia,2012,11.501645544462772,2011-2013,0.04729515976208739,11.54894070422486
Virginia,2013,10.862002988877533,2012-2014,0.04633833365849032,10.908341322536023
Virginia,2014,10.539097703883341,2013-2015,0.04788245855989123,10.586980162443233
Virginia,2015,10.837094445663057,2014-2016,0.04181087667277326,10.87890532233583
Virginia,2016,11.496622267151984,2015-2017,0.0420468295180161,11.53866909667
Virginia,2017,12.19815354789284,2016-2018,0.040645611443722994,12.238799159336564
Virginia,2018,13.011396214253326,2017-2019,0.04153587531558978,13.052932089568916
Virginia,2019,12.820868574015487,2018-2020,0.03775141174253848,12.858619985758025
Virginia,2020,9.21335891148355,2019-2021,0.03311269656368306,9.246471608047232
