place,year,voter_reg,students_lep,alcohol_underage,child_services,delinquent_judgments,juvenile_crime,school_violence,school_drugs,school_weapons,school_suspend,kinder_pals,students_sped,post_secondary,sol3_english,sol3_math,sold5_english,sol5_math,sol8_english,sol8_math,school_attend,hsgrad_rate,hsdeg_rate,divorces,foster_care,two_parent,cps_invest_assess,per_cap_inc,adj_per_cap_inc,child_pov,child_frl_3yr,homeless_count,owner_burden,renter_burden,prenatal_care_3yr,infant_death_3yr,low_birthweight_3yr,low_educ_birth,teen_pregnancy_3yr,teen_births_3yr,teen_std_3yr
Charlottesville,2001,NA,NA,NA,NA,NA,9.56,57.5,1.256666667,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.76707819,29.06666667,NA
Charlottesville,2002,0.645,0.034162896,8,56,187.7982277,9.275375203,91.7,2.456666667,0.72,NA,0.3,0.1703,0.705,0.634,0.634,0.637,0.559,0.41,0.29,0.946,0.706484642,NA,2.7,2.7,NA,NA,NA,NA,0.205,NA,NA,NA,NA,0.77854243,13.87331976,0.078427699,0.19,61.50041152,29.96666667,9.979597864
Charlottesville,2003,0.594892523,0.043,14,53.03292894,193.4142114,6.993653139,39.39962477,2.455788514,0.1,NA,0.259,0.185,0.708,0.6533,0.7281,0.7428,0.6161,0.4743,0.4111,0.945,0.786163522,NA,2.53164557,2.53164557,NA,32.13807469,32179,26484,0.223,0.465,NA,NA,NA,0.788875764,12.00665309,0.086761032,0.18,66.36707819,36.73333333,10.46991556
Charlottesville,2004,0.685022519,0.058506904,13.25075616,43.28561691,190.5248807,3.35326061,40.56517776,3.34900794,2.278942571,290.793072,NA,0.181,0.755,0.65,0.8,0.7,0.52,0.63,0.6,0.95,0.717607973,NA,2.165633635,2.165633635,NA,49.3974111,34333,27622,0.203,0.485,NA,NA,NA,0.772,10.46666667,0.091666667,0.23,63.56666667,29.83333333,10.58803723
Charlottesville,2005,0.697827939,0.05338809,19.86455982,45.33060668,159.8500341,5.068203949,36.01939506,4.042051007,1.847148465,358.8085892,0.17,0.166,0.766393443,0.72,0.83,0.72,0.62,0.54,0.57,0.94,0.683473389,NA,2.526209423,2.526209423,NA,33.35771763,35570,28739,0.24,0.5024,NA,NA,NA,0.762333333,9.4,0.089333333,0.19,65.23333333,27.83333333,9.721190041
Charlottesville,2006,0.714112915,0.060955899,12.81494353,32.62884687,198.3685577,8.125360096,46.61618552,6.116461644,4.96923805,359.2049219,0.178913738,0.173862849,0.76984127,0.75,0.84,0.75,0.75,0.59,0.55,0.94,0.631578947,NA,0.802005013,0.802005013,NA,26.93602694,38383,30892,0.203,0.517433333,NA,NA,NA,0.752666667,11.96666667,0.086,0.22,53.26666667,20.7,8.062037511
Charlottesville,2007,0.693580449,0.085423568,11.3397732,55.55555556,179.5698925,10.50082827,48.23702253,4.934228421,3.183153771,235.3085211,0.167664671,0.165168008,0.805,0.81,0.89,0.84,0.88,0.6,0.64,0.95,0.647,NA,0.311571278,0.311571278,NA,30.14861996,41571,33728,0.219,0.5235,NA,NA,NA,0.745333333,11.66666667,0.084666667,0.26,48.66666667,22.86666667,7.613568915
Charlottesville,2008,0.873432363,0.100919775,10,72.01492537,160.4477612,8.064270512,49.52769977,4.244554789,2.562788314,287.6852325,0.16,0.162879755,0.740350877,0.84,0.86,0.795,0.77,0.67,0.74,0.952588416,0.683453237,NA,0.176598214,0.176598214,NA,41.99823165,43344,35132,0.209,0.536766667,NA,NA,NA,0.745666667,11.26666667,0.086666667,0.2,41.4,21.36666667,8.64120579
Charlottesville,2009,0.829659349,0.100643501,11.42251945,45.24311665,125.7979341,6.259771173,39.18535705,3.774733672,3.866976025,233.5653519,0.148997135,0.169927909,0.760956175,0.87,0.93,0.86,0.87,0.79,0.66,0.95,0.664021164,0.84,0.094746317,0.094746317,NA,53.60369258,41900.23765,32718.47,0.214,0.544333333,NA,NA,NA,0.749666667,8.2,0.079666667,0.184,34.96666667,19.56666667,9.939501206
Charlottesville,2010,0.763222616,0.08560794,14.80773824,40.73482428,134.1853035,3.322465479,34.13061005,5.725069551,1.582278481,206.1273851,0.108761329,0.1507,0.760135135,0.85,0.93,0.77,0.82,0.84,0.74,0.95,0.723716381,0.85,0.092006901,0.092006901,0.66,67.96416435,42799,35250.47,0.202,0.544366667,NA,NA,NA,0.765666667,7.3,0.081,0.142,31.76666667,15.44811715,9.911567384
